Diasporus amirae 
Diasporus anthrax 
Diasporus citrinobapheus 
Diasporus darienensis 
Diasporus diastema 
Diasporus gularis 
Diasporus hylaeformis 
Diasporus igneus 
Diasporus lynchi 
Diasporus majeensis 
Diasporus pequeno 
Diasporus quidditus 
Diasporus sapo 
Diasporus tigrillo 
Diasporus tinker 
Diasporus ventrimaculatus 
Diasporus vocator 
Eleutherodactylus geitonos 
Eleutherodactylus montserratae 
Eleutherodactylus (Euhyas) paralius 
Eleutherodactylus (Euhyas) paulsoni 
Eleutherodactylus (Euhyas) pentasyringos 
Eleutherodactylus (Euhyas) pezopetrus 
Eleutherodactylus (Euhyas) pictissimus 
Eleutherodactylus (Euhyas) pinarensis 
Eleutherodactylus (Euhyas) planirostris 
Eleutherodactylus (Euhyas) probolaeus 
Eleutherodactylus (Euhyas) rhodesi 
Eleutherodactylus (Euhyas) ricordii 
Eleutherodactylus (Euhyas) riparius 
Eleutherodactylus (Euhyas) rivularis 
Eleutherodactylus (Euhyas) rogersi 
Eleutherodactylus (Euhyas) rucillensis 
Eleutherodactylus (Euhyas) rufifemoralis 
Eleutherodactylus (Euhyas) schmidti 
Eleutherodactylus (Euhyas) sciagraphus 
Eleutherodactylus (Euhyas) semipalmatus 
Eleutherodactylus (Euhyas) simulans 
Eleutherodactylus (Euhyas) sisyphodemus 
Eleutherodactylus (Euhyas) tetajulia 
Eleutherodactylus (Euhyas) thomasi 
Eleutherodactylus (Euhyas) thorectes 
Eleutherodactylus (Euhyas) toa 
Eleutherodactylus (Euhyas) tonyi 
Eleutherodactylus (Euhyas) turquinensis 
Eleutherodactylus (Euhyas) varleyi 
Eleutherodactylus (Euhyas) ventrilineatus 
Eleutherodactylus (Euhyas) warreni 
Eleutherodactylus (Euhyas) weinlandi 
Eleutherodactylus (Euhyas) zugi 
Eleutherodactylus (Pelorius) aporostegus 
Eleutherodactylus (Pelorius) bothroboans 
Eleutherodactylus (Pelorius) chlorophenax 
Eleutherodactylus (Pelorius) hypostenor 
Eleutherodactylus (Pelorius) inoptatus 
Eleutherodactylus (Pelorius) nortoni 
Eleutherodactylus (Pelorius) parapelates 
Eleutherodactylus (Pelorius) ruthae 
Eleutherodactylus (Pelorius) tychathrous 
Eleutherodactylus (Schwartzius) counouspeus 
Eleutherodactylus (Syrrhophus) albolabris 
Eleutherodactylus (Syrrhophus) angustidigitorum 
Eleutherodactylus (Syrrhophus) campi 
Eleutherodactylus (Syrrhophus) coelum 
Eleutherodactylus (Syrrhophus) colimotl 
Eleutherodactylus (Syrrhophus) cystignathoides 
Eleutherodactylus (Syrrhophus) dilatus 
Eleutherodactylus (Syrrhophus) erendirae 
Eleutherodactylus (Syrrhophus) erythrochomus 
Eleutherodactylus (Syrrhophus) floresvillelai 
Eleutherodactylus (Syrrhophus) franzi 
Eleutherodactylus (Syrrhophus) grandis 
Eleutherodactylus (Syrrhophus) grunwaldi 
Eleutherodactylus (Syrrhophus) guttilatus 
Eleutherodactylus (Syrrhophus) humboldti 
Eleutherodactylus (Syrrhophus) interorbitalis 
Eleutherodactylus (Syrrhophus) jaliscoensis 
Eleutherodactylus (Syrrhophus) jamesdixoni 
Eleutherodactylus (Syrrhophus) leprus 
Eleutherodactylus (Syrrhophus) longipes 
Eleutherodactylus (Syrrhophus) maculabialis 
Eleutherodactylus (Syrrhophus) manantlanensis 
Eleutherodactylus (Syrrhophus) marnockii 
Eleutherodactylus (Syrrhophus) maurus 
Eleutherodactylus (Syrrhophus) modestus 
Eleutherodactylus (Syrrhophus) nietoi 
Eleutherodactylus (Syrrhophus) nitidus 
Eleutherodactylus (Syrrhophus) orarius 
Eleutherodactylus (Syrrhophus) pallidus 
Eleutherodactylus (Syrrhophus) pipilans 
Eleutherodactylus (Syrrhophus) potosiensis 
Eleutherodactylus (Syrrhophus) rubrimaculatus 
Eleutherodactylus (Syrrhophus) rufescens 
Eleutherodactylus (Syrrhophus) saxatilis 
Eleutherodactylus (Syrrhophus) sentinelus 
Eleutherodactylus (Syrrhophus) symingtoni 
Eleutherodactylus (Syrrhophus) syristes 
Eleutherodactylus (Syrrhophus) teretistes 
Eleutherodactylus (Syrrhophus) verrucipes 
Eleutherodactylus (Syrrhophus) verruculatus 
Eleutherodactylus (Syrrhophus) wixarika 
Eleutherodactylus (Syrrhophus) zeus 
Adelophryne adiastola 
Adelophryne amapaensis 
Adelophryne baturitensis 
Adelophryne glandulata 
Adelophryne gutturosa 
Adelophryne maranguapensis 
Adelophryne meridionalis 
Adelophryne michelin 
Adelophryne mucronatus 
Adelophryne nordestina 
Adelophryne pachydactyla 
Adelophryne patamona 
Phyzelaphryne miriamae 
Phyzelaphryne nimio
Ischnocnema abdita 
Ischnocnema bocaina 
Ischnocnema bolbodactyla 
Ischnocnema colibri 
Ischnocnema concolor 
Ischnocnema crassa 
Ischnocnema epipeda 
Ischnocnema erythromera 
Ischnocnema feioi 
Ischnocnema garciai 
Ischnocnema gehrti 
Ischnocnema gualteri 
Ischnocnema guentheri 
Ischnocnema henselii 
Ischnocnema hoehnei 
Ischnocnema holti 
Ischnocnema izecksohni 
Ischnocnema juipoca 
Ischnocnema karst 
Ischnocnema lactea 
Ischnocnema manezinho 
Ischnocnema melanopygia 
Ischnocnema nanahallux 
Ischnocnema nasuta 
Ischnocnema nigriventris 
Ischnocnema octavioi 
Ischnocnema oea 
Ischnocnema paranaensis 
Ischnocnema parnaso 
Ischnocnema parva 
Ischnocnema penaxavantinho 
Ischnocnema pusilla 
Ischnocnema randorum 
Ischnocnema sambaqui 
Ischnocnema spanios 
Ischnocnema surda 
Ischnocnema venancioi 
Ischnocnema verrucosa 
Ischnocnema vizottoi 
